index,1_pre_5_0W_45_50N,2_pre_0_5E_45_50N,3_pre_5_10E_45_50N,4_pre_10_15E_45_50N,5_pre_15_20E_45_50N,6_pre_20_25E_45_50N,7_pre_25_30E_45_50N,8_pre_30_35E_45_50N,9_pre_35_40E_45_50N,10_pre_40_45E_45_50N,11_pre_10_5W_40_45N,12_pre_5_0W_40_45N,13_pre_0_5E_40_45N,14_pre_5_10E_40_45N,15_pre_10_15E_40_45N,16_pre_15_20E_40_45N,17_pre_20_25E_40_45N,18_pre_25_30E_40_45N,19_pre_30_35E_40_45N,20_pre_35_40E_40_45N,21_pre_40_45E_40_45N,22_pre_10_5W_35_40N,23_pre_5_0W_35_40N,24_pre_0_5E_35_40N,25_pre_5_10E_35_40N,26_pre_10_15E_35_40N,27_pre_15_20E_35_40N,28_pre_20_25E_35_40N,29_pre_25_30E_35_40N,30_pre_30_35E_35_40N,31_pre_35_40E_35_40N,32_pre_40_45E_35_40N,33_pre_10_5W_30_35N,34_pre_5_0W_30_35N,35_pre_0_5E_30_35N,36_pre_5_10E_30_35N,37_pre_10_15E_30_35N,38_pre_15_20E_30_35N,39_pre_20_25E_30_35N,40_pre_25_30E_30_35N,41_pre_30_35E_30_35N,42_pre_35_40E_30_35N,43_pre_40_45E_30_35N
1951 Jan,-5.08443,-9.43564,23.7802,65.49,4.1707,-11.8613,-17.3315,-11.4782,-10.0575,-9.57132,37.3515,24.5651,1.08701,38.3493,41.3517,13.3361,7.34487,1.49297,-21.5275,-17.6527,4.10617,2.96997,4.20558,21.4322,-3.19856,-0.67823,32.696,52.8426,27.585,8.64837,-3.74381,7.28821,3.81306,15.2265,2.8442,1.12708,5.72333,-11.999,-24.9279,-24.1149,-15.9952,-12.967,-1.7716
1951 Feb,39.2866,20.5837,31.3156,51.6719,10.0961,7.52048,-7.26019,-7.86407,-16.7696,-6.78347,48.0606,25.8209,30.4051,58.4678,37.1681,32.1977,2.40993,-11.5981,-14.064,-15.949,-16.3704,33.3635,1.72462,-7.03216,-8.04368,-23.1046,-13.9653,-19.5996,-15.0178,-19.7553,-13.2389,-1.7444,23.1039,6.66787,-4.59186,-3.97856,-11.2413,-10.1841,-20.9049,-8.6587,9.00443,-2.14204,0.224781
1951 Mar,24.0474,15.1705,20.5028,33.9274,32.4342,22.8998,7.47158,24.9858,7.92027,-0.589779,45.8344,32.3112,39.071,27.2494,29.8023,20.8756,16.6352,7.20443,25.5562,0.038063,-22.6456,50.9995,17.3603,-8.69984,-17.0751,-9.94478,17.4223,9.37109,20.3809,18.4772,-9.89889,-17.3609,4.25241,-2.6813,10.5378,-2.82696,-16.0209,-11.0871,-9.71153,-5.83989,-12.3217,-14.4774,0.761114
1951 Apr,0.669941,-5.21684,-22.0042,-32.2377,-7.64268,8.28999,9.52108,-8.50324,-13.1615,-13.9512,-17.9422,6.56796,0.268013,-38.2732,-19.0652,-12.6007,11.9368,3.14856,13.6129,-11.2771,-11.8314,-18.1212,27.826,-23.1516,-44.7914,-29.64,-28.4978,-25.7672,-20.9832,-9.54866,13.3359,11.443,-31.7043,-13.3151,-9.27423,-5.62791,-8.29178,-4.67078,-6.47247,-3.95105,-6.48116,4.28714,-1.87325
1951 May,34.5961,28.55,-1.183,-9.12971,31.3939,16.0874,-5.54092,-0.111851,-0.19968,-10.4465,-4.41232,10.7853,42.1429,63.4848,13.0432,11.4934,0.0286484,-6.77818,-14.4937,21.6757,17.7694,-9.38141,-0.997997,3.27501,10.4951,3.54833,8.75083,-0.0690422,11.9599,-14.1005,-2.60915,-1.14956,-11.5751,-2.82171,-1.00302,-3.41956,-0.089879,1.39725,1.20633,2.70534,-1.90227,-4.53996,-0.806346
1951 Jun,4.87254,46.6732,29.9287,2.61816,29.924,-3.89967,-30.6954,-31.496,-12.7942,-22.6924,3.77112,10.2642,8.31437,-11.5826,-15.1799,-4.18264,-9.92038,-9.6967,26.252,8.62853,7.3566,-4.38649,-11.0845,-12.9922,-14.5697,-6.724,-12.6172,-1.51621,-5.121,8.14521,8.01984,7.41375,-6.65794,-4.69616,-3.82679,-2.80492,-1.06008,-0.23549,-0.206467,-1.10877,-0.171003,0.75722,0.0502848
1951 Jul,-11.4536,-8.53335,6.06467,14.5429,22.52,-12.721,-25.5016,-28.209,-10.6269,-9.15683,3.14318,2.86263,-0.630222,3.08572,10.0937,5.66825,17.8442,5.29927,20.3939,19.4961,10.351,-2.89724,-2.61139,0.124658,0.264832,-0.76285,-2.9565,-2.40149,2.95814,8.99502,1.8496,-1.24279,-0.0367768,0.734522,2.12921,0.440523,0.0402712,0.0268628,0.666867,0.101018,-0.0195614,-0.0232156,0.00370689
1951 Aug,61.8478,37.4096,23.247,-35.1932,-17.9533,3.62468,0.488251,-4.5572,11.0586,6.99283,8.79071,16.4034,25.0346,-4.66041,-38.5018,-18.0509,6.37188,26.912,-1.49632,14.4911,13.3173,-3.72867,1.28121,-1.02152,-7.7919,28.4396,26.0578,4.41789,6.71161,0.667725,1.13533,-0.241136,-2.15956,-1.85368,-2.14887,0.165848,0.296424,-0.037451,-0.0382667,-0.0133332,-0.0941886,-0.0501833,-0.00328431
1951 Sep,26.9284,-1.21336,-7.33266,3.9781,11.7213,15.2152,-2.74972,-10.3302,-19.846,-8.37579,-6.49346,24.0396,13.7537,2.72295,56.4928,17.332,-2.21063,-15.6943,-7.32417,-7.59433,33.2312,5.85487,28.0408,8.54524,17.5348,51.7034,42.8012,20.3582,0.632982,5.99817,2.67414,7.51916,5.1038,8.44986,9.00175,2.51072,9.49952,0.696472,-0.509067,-1.19247,0.0872533,0.116724,0.168936
1951 Oct,-45.0361,-28.4926,-27.1165,-50.2746,-38.1256,-30.4488,-13.074,-23.3961,-23.6523,-4.23394,-21.046,8.00862,48.3747,37.2078,3.87874,27.9434,32.5494,4.23107,8.00132,12.1958,68.175,-28.2125,3.8494,70.0997,81.8229,43.1429,81.7103,73.8054,39.3333,32.7392,38.341,40.4572,-4.3862,18.3834,29.4958,19.4619,3.63224,-2.03392,-5.90173,-8.78456,-5.41923,-1.21562,-0.714872
1951 Nov,38.5594,34.4264,80.3598,44.5352,12.2886,-16.8332,-13.3214,-6.61448,-8.70027,7.56693,70.5104,3.74376,27.2046,104.791,-5.65177,-5.67097,-18.2512,-10.4549,1.584,2.31573,13.5518,96.9352,30.0704,4.07854,-13.9647,-8.69236,-16.3475,25.7707,32.9956,5.49115,-7.25248,-15.5101,28.2533,21.175,5.02116,2.89707,-5.22267,-13.7969,-3.3794,-5.73619,-8.61826,-3.66021,-0.807393
1951 Dec,-4.50835,-19.5432,-33.171,-21.2797,-7.54184,-15.6109,-22.2184,-30.3531,-33.0223,-18.2406,-38.4298,-8.4225,-16.5791,-45.923,-24.6512,-24.5678,-25.6694,-40.9265,-2.0154,12.2036,3.15902,-53.1364,-17.5463,-20.5724,-22.5336,-34.5631,-47.3225,-6.89268,-37.991,-24.2781,8.36874,15.8127,1.07207,6.02491,3.77449,-6.09561,4.69069,28.7492,8.67088,19.7201,46.781,40.4632,5.20737
1952 Jan,6.2359,16.37,6.94861,6.64877,22.8855,14.7812,-3.17922,-2.53164,3.11049,-2.75309,-25.728,0.523949,-15.4917,-12.9208,3.0338,25.5576,10.4428,-4.34834,-4.42226,5.2659,-5.34952,-15.2581,1.51585,42.1039,15.6034,6.50751,-11.709,15.5616,0.359367,-19.1127,-19.5695,-10.6618,5.54495,14.6183,17.5615,12.84,17.5843,6.65392,-7.23793,-7.33272,-8.43135,-11.6529,0.441807
1952 Feb,-35.0084,-9.36534,-10.9306,26.3087,26.31,24.6709,17.9367,22.6651,14.1743,5.71887,-73.4873,-26.6916,-19.4511,-49.4197,-14.351,-11.9104,3.80485,32.3779,19.8953,27.8167,22.2936,-57.4778,-29.7501,-12.5897,-4.62835,1.51194,-5.65533,18.6139,44.7028,9.08636,35.8573,46.0509,-40.1192,-19.4502,-6.14265,1.22333,13.6617,15.61,-4.70887,0.953997,17.0913,17.4445,6.7644
1952 Mar,19.9692,17.1813,21.167,7.83532,0.166367,4.19951,7.27172,17.2386,12.8081,17.0493,62.8321,23.4934,-0.987667,-43.1787,-49.338,-41.7136,-16.321,-2.23287,4.3302,15.2386,4.30671,83.0319,5.19806,-17.5193,-30.0869,-19.2791,-24.3377,-5.45613,7.17764,18.259,10.7714,-1.71487,-18.0037,-17.74,-10.0246,-9.22268,-18.5837,-12.6165,-0.315535,-6.36331,-5.71426,1.20141,0.925714
