index,MOI,POL,EAWR,SCA,EA,NAO,SOI,AO
1951 Jan,0.26,1.79,-0.74,0.23,-1.47,-0.42,1.5,-0.085
1951 Feb,-1.38,1.23,-1.66,1.25,-0.17,0.35,0.9,-0.4
1951 Mar,-1.69,-1.29,0.11,-0.91,-2.34,-1.47,-0.1,-1.934
1951 Apr,0.51,-0.38,-2.31,-0.77,0.42,-0.38,-0.3,-0.776
1951 May,0.22,-0.19,0.93,0.5,-1.13,-0.5,-0.7,-0.863
1951 Jun,0.09,1.32,1.91,-0.02,-0.08,-1.35,0.2,-0.918
1951 Jul,1.4,0.47,-0.86,-1.57,-0.58,1.39,-1,0.09
1951 Aug,-0.73,0.17,-3.26,1.53,0.69,-0.41,-0.2,-0.377
1951 Sep,-0.46,-0.8,-0.26,-0.82,0.56,-1.18,-1.1,-0.818
1951 Oct,-0.05,-0.28,0.59,0.78,-0.68,2.54,-1,-0.213
1951 Nov,-0.63,2.32,0.48,0.43,0.11,-0.54,-0.8,-0.069
1951 Dec,-0.19,0.47,0.04,-0.71,0.21,1.13,-0.7,1.987
1952 Jan,0.09,-0.27,-1.07,-0.5,-2.26,0.57,-0.9,0.368
1952 Feb,-0.17,0.02,-1.46,-0.75,-1.84,-1.38,-0.6,-1.747
1952 Mar,0.53,0.25,0.16,-0.39,0.26,-1.97,0.5,-1.859
1952 Apr,-0.46,0.13,0.12,1.01,0.95,0.95,-0.2,0.539
1952 May,0.78,-0.81,0.24,-0.38,-0.18,-0.99,0.8,-0.774
1952 Jun,-0.67,-1.61,-0.4,-0.56,-0.14,-0.1,0.7,-0.441
1952 Jul,-0.49,0.94,-1.26,0.16,0.52,-0.06,0.5,0.383
1952 Aug,1.08,1.26,-0.95,-0.99,-0.16,-0.49,0.1,-0.03
1952 Sep,-0.48,-0.77,-1.68,-0.7,-2.13,-0.38,-0.2,-0.383
1952 Oct,0.68,0.16,-0.42,1.78,-0.54,-0.28,0.4,-0.437
1952 Nov,1.56,-0.05,-1.55,1.24,-1.43,-1.32,0,-1.891
1952 Dec,0.16,0.61,-0.26,0.85,-1.31,-0.49,-1.2,-1.827
1953 Jan,2,-0.06,0.84,-0.09,-2.69,-0.12,0.3,-1.036
1953 Feb,-0.55,1.09,-0.25,-0.61,-1.34,-1,-0.5,-0.249
1953 Mar,0.33,2.08,1.73,-1.16,-1.02,-0.45,-0.2,1.068
1953 Apr,-1.52,-0.01,-1.66,-0.19,-0.02,-1.96,0.2,-1.256
1953 May,-0.69,-0.81,0.09,-0.53,-1.54,-0.56,-1.7,-0.562
1953 Jun,-1.03,-1.73,-0.71,1.6,-1.32,1.41,0.1,0.023
1953 Jul,-1.58,-0.42,-0.71,-1.58,0.74,0.43,0,0.333
1953 Aug,-0.49,-1.4,-1.41,0.32,0.01,-1.04,-1.2,0.085
1953 Sep,0.74,1.25,0.58,0.24,-0.24,-0.19,-1.2,0.662
1953 Oct,1.32,-0.58,0,1.23,-0.43,1.95,0.1,-0.194
1953 Nov,-2.53,-1.45,0.16,0.02,0.18,0.96,-0.3,0.354
1953 Dec,-2.19,1.36,0.73,1.03,-1.05,-0.52,-0.5,0.575
1954 Jan,-0.82,0.55,0.52,0.77,-2.49,-0.08,0.7,-0.148
1954 Feb,-0.68,0.95,0.03,1.63,-1.02,0.4,-0.3,-0.181
1954 Mar,-1.03,2.58,0.48,0.38,-0.46,-1.27,0.3,0.476
1954 Apr,-0.18,-1.44,-0.29,-0.54,-2.77,1.31,0.6,0.512
1954 May,-1.16,-1.95,-2.13,0.31,-0.79,-0.03,0.5,-1.656
1954 Jun,1.05,-1.06,0.58,0.2,-0.69,0.06,0.1,-0.268
1954 Jul,1.01,-1.37,-1.5,0.52,-0.3,-0.57,0.4,0.341
